gene_id	gene_type	gene_status	gene_name
ENSG00000265875.1	miRNA	KNOWN	AC011357.1
ENSG00000254672.1	pseudogene	KNOWN	RP5-916O11.3
ENSG00000259027.1	lincRNA	NOVEL	RP11-361H10.4
ENSG00000150773.6	protein_coding	KNOWN	PIH1D2
ENSG00000143033.12	protein_coding	KNOWN	MTF2
ENSG00000256150.1	lincRNA	NOVEL	RP11-885B4.1
ENSG00000257941.1	pseudogene	KNOWN	RP11-290L1.4
ENSG00000033030.9	protein_coding	KNOWN	ZCCHC8
ENSG00000083857.9	protein_coding	KNOWN	FAT1
ENSG00000161896.6	protein_coding	KNOWN	IP6K3
ENSG00000251249.1	lincRNA	NOVEL	RP11-73G16.1
ENSG00000267083.1	pseudogene	KNOWN	AC079005.2
ENSG00000259847.1	lincRNA	NOVEL	RP11-95H3.1
ENSG00000239415.1	processed_transcript	NOVEL	AP001469.9
ENSG00000226668.1	pseudogene	KNOWN	RP11-526D8.7
ENSG00000250006.1	pseudogene	KNOWN	CTB-179I1.1
ENSG00000236313.1	pseudogene	KNOWN	VN1R53P
ENSG00000260729.1	processed_transcript	NOVEL	RP11-106M3.2
ENSG00000245667.2	antisense	NOVEL	RP5-940J5.8
ENSG00000258630.1	lincRNA	NOVEL	RP11-725G5.2
ENSG00000258517.1	lincRNA	NOVEL	RP6-91H8.1
ENSG00000166986.8	protein_coding	KNOWN	MARS
ENSG00000203818.5	protein_coding	KNOWN	HIST2H3PS2
ENSG00000202050.1	snRNA	KNOWN	U6
ENSG00000267503.1	antisense	NOVEL	RP11-53B2.4
ENSG00000259799.1	antisense	NOVEL	RP11-554A11.9
ENSG00000101199.8	protein_coding	KNOWN	ARFGAP1
ENSG00000150316.7	processed_transcript	KNOWN	CWC15
ENSG00000133195.7	protein_coding	KNOWN	SLC39A11
ENSG00000231952.3	pseudogene	KNOWN	AC018648.5
ENSG00000252894.1	misc_RNA	KNOWN	Y_RNA
ENSG00000196748.5	protein_coding	KNOWN	CLPSL2
ENSG00000206791.1	snRNA	KNOWN	U1
ENSG00000261182.1	lincRNA	NOVEL	RP11-201A3.1
ENSG00000203780.6	protein_coding	KNOWN	FANK1
ENSG00000211978.2	IG_V_pseudogene	KNOWN	IGHV5-78
ENSG00000212039.1	miRNA	KNOWN	AL592205.1
ENSG00000226753.1	pseudogene	KNOWN	RP11-212D3.2
ENSG00000109805.5	protein_coding	KNOWN	NCAPG
ENSG00000132874.8	protein_coding	KNOWN	SLC14A2
ENSG00000127329.10	protein_coding	KNOWN	PTPRB
ENSG00000267102.1	pseudogene	KNOWN	RP11-686D22.7
ENSG00000229973.1	lincRNA	PUTATIVE	RP1-239K6.1
ENSG00000120688.7	protein_coding	KNOWN	WBP4
ENSG00000250594.1	pseudogene	KNOWN	RP11-433B3.1
ENSG00000188399.5	pseudogene	KNOWN	ANKRD36P1
ENSG00000144199.6	protein_coding	KNOWN	FAHD2B
ENSG00000143183.11	protein_coding	KNOWN	TMCO1
ENSG00000263570.1	miRNA	KNOWN	AC074264.1
ENSG00000259977.1	processed_transcript	NOVEL	AL121578.2
ENSG00000223474.2	protein_coding	KNOWN	AL020996.1
ENSG00000229941.1	antisense	PUTATIVE	AC012499.1
ENSG00000184361.8	protein_coding	KNOWN	TEX34
ENSG00000227394.1	pseudogene	KNOWN	AC007386.3
ENSG00000108774.10	protein_coding	KNOWN	RAB5C
ENSG00000130985.12	protein_coding	KNOWN	UBA1
ENSG00000212025.2	miRNA	KNOWN	AC011748.1
ENSG00000228318.1	antisense	NOVEL	AP001610.5
ENSG00000189002.8	pseudogene	KNOWN	PROSP
ENSG00000235944.3	pseudogene	KNOWN	ZNF815P
ENSG00000222129.1	rRNA	KNOWN	RNA5SP36
ENSG00000166126.6	protein_coding	KNOWN	AMN
ENSG00000231302.1	pseudogene	KNOWN	RPL36P2
ENSG00000244031.2	pseudogene	KNOWN	RP11-174E22.1
ENSG00000231392.1	pseudogene	KNOWN	LL22NC03-24A12.8
ENSG00000180884.8	protein_coding	KNOWN	ZNF792
ENSG00000227879.2	pseudogene	KNOWN	PSPC1P1
ENSG00000198231.7	protein_coding	KNOWN	DDX42
ENSG00000254312.1	pseudogene	KNOWN	MRP63P7
ENSG00000117139.11	protein_coding	KNOWN	KDM5B
ENSG00000205220.7	protein_coding	KNOWN	PSMB10
ENSG00000244025.2	protein_coding	KNOWN	KRTAP19-3
ENSG00000241057.1	pseudogene	KNOWN	AC004985.12
ENSG00000001460.13	protein_coding	KNOWN	STPG1
ENSG00000145642.7	protein_coding	KNOWN	FAM159B
ENSG00000117360.8	protein_coding	KNOWN	PRPF3
ENSG00000221190.1	miRNA	KNOWN	MIR1184-1
ENSG00000234479.2	pseudogene	KNOWN	AP1B1P1
ENSG00000107625.7	protein_coding	KNOWN	DDX50
ENSG00000218476.2	pseudogene	KNOWN	RP11-108N13.1
ENSG00000208013.1	miRNA	KNOWN	MIR652
ENSG00000252719.1	snoRNA	KNOWN	SNORA18
ENSG00000196772.3	protein_coding	KNOWN	OR14A16
ENSG00000234206.1	antisense	NOVEL	RP1-67A8.3
ENSG00000080031.5	protein_coding	KNOWN	PTPRH
ENSG00000260456.1	protein_coding	KNOWN	C16orf95
ENSG00000231982.1	pseudogene	KNOWN	RP11-573D15.1
ENSG00000253833.1	pseudogene	KNOWN	RP11-367E12.4
ENSG00000250420.3	pseudogene	KNOWN	AACSP1
ENSG00000258509.1	pseudogene	KNOWN	RP11-857B24.3
ENSG00000123407.3	protein_coding	KNOWN	HOXC12
ENSG00000169583.11	protein_coding	KNOWN	CLIC3
ENSG00000266369.1	antisense	NOVEL	RP11-344E13.4
ENSG00000106125.14	protein_coding	KNOWN	FAM188B
ENSG00000257802.1	pseudogene	KNOWN	MRS2P2
ENSG00000200693.1	snoRNA	KNOWN	U3
ENSG00000076984.12	protein_coding	KNOWN	MAP2K7
ENSG00000236764.3	pseudogene	KNOWN	COX7A2P2
ENSG00000234595.1	antisense	NOVEL	AC013733.3
ENSG00000253801.1	pseudogene	KNOWN	CTD-2060F24.1
ENSG00000173702.3	protein_coding	KNOWN	MUC13
ENSG00000105053.5	protein_coding	KNOWN	VRK3
ENSG00000121542.7	protein_coding	KNOWN	SEC22A
ENSG00000125843.6	protein_coding	KNOWN	AP5S1
ENSG00000259759.1	lincRNA	NOVEL	RP11-324D17.2
ENSG00000234238.1	lincRNA	PUTATIVE	RP11-430L16.1
ENSG00000233508.1	antisense	PUTATIVE	RP1-269M15.3
ENSG00000243664.1	pseudogene	KNOWN	RPS29P12
ENSG00000267717.1	pseudogene	KNOWN	SRSF10P1
ENSG00000232002.1	lincRNA	NOVEL	AC093642.6
ENSG00000235976.1	pseudogene	KNOWN	RP1-197J16.1
ENSG00000221539.1	snoRNA	KNOWN	SNORD99
ENSG00000254920.1	pseudogene	KNOWN	RP11-56P9.6
ENSG00000231378.1	pseudogene	KNOWN	RP11-64I24.2
ENSG00000117394.13	protein_coding	KNOWN	SLC2A1
ENSG00000257323.1	pseudogene	KNOWN	RP11-361A23.1
ENSG00000257364.1	pseudogene	KNOWN	RP11-81H3.1
ENSG00000173436.9	protein_coding	KNOWN	MINOS1
ENSG00000226235.1	antisense	NOVEL	LEMD1-AS1
ENSG00000261654.1	sense_overlapping	NOVEL	RP11-96K19.4
ENSG00000151422.8	protein_coding	KNOWN	FER
ENSG00000236834.1	lincRNA	NOVEL	LINC00421
ENSG00000264799.1	miRNA	KNOWN	AC009892.1
ENSG00000251615.1	lincRNA	NOVEL	RP11-774O3.3
ENSG00000259443.1	lincRNA	NOVEL	RP11-403B2.5
ENSG00000241537.1	pseudogene	KNOWN	RP11-624D20.1
ENSG00000101017.9	protein_coding	KNOWN	CD40
ENSG00000154258.12	protein_coding	KNOWN	ABCA9
ENSG00000172288.6	protein_coding	KNOWN	CDY1
ENSG00000258678.1	lincRNA	NOVEL	RP11-1078H9.1
ENSG00000267182.1	pseudogene	KNOWN	RP11-382N13.5
ENSG00000238211.1	pseudogene	KNOWN	POLR2LP
ENSG00000248122.1	pseudogene	KNOWN	RP11-642E20.4
ENSG00000212497.1	rRNA	KNOWN	RNA5SP465
ENSG00000164266.5	protein_coding	KNOWN	SPINK1
ENSG00000169255.9	protein_coding	KNOWN	B3GALNT1
ENSG00000234769.4	protein_coding	KNOWN	WASH4P
ENSG00000158882.8	protein_coding	KNOWN	TOMM40L
ENSG00000261399.1	antisense	NOVEL	LA16c-329F2.1
ENSG00000226942.2	pseudogene	KNOWN	IL9RP3
ENSG00000259934.1	pseudogene	KNOWN	RP11-989E6.1
ENSG00000241815.1	pseudogene	KNOWN	RP11-124D9.1
ENSG00000240877.2	misc_RNA	KNOWN	Metazoa_SRP
ENSG00000253713.1	lincRNA	PUTATIVE	CTC-264O10.2
ENSG00000259811.1	processed_transcript	NOVEL	RP11-863P13.3
ENSG00000248548.1	pseudogene	KNOWN	MTND4P8
ENSG00000196167.5	protein_coding	KNOWN	C11orf92
ENSG00000009724.12	protein_coding	KNOWN	MASP2
ENSG00000237424.1	antisense	PUTATIVE	FOXD2-AS1
ENSG00000234567.1	antisense	NOVEL	RP1-283K11.2
ENSG00000177519.3	protein_coding	KNOWN	RPRM
ENSG00000263392.1	miRNA	KNOWN	AC084262.2
ENSG00000253222.1	sense_intronic	NOVEL	NRG1-IT2
ENSG00000164871.13	protein_coding	KNOWN	SPAG11B
ENSG00000105048.11	protein_coding	KNOWN	TNNT1
ENSG00000228360.1	pseudogene	KNOWN	RP11-365F18.1
ENSG00000228166.1	pseudogene	KNOWN	MTND1P11
ENSG00000260414.1	pseudogene	KNOWN	RP11-1437A8.2
ENSG00000215326.3	pseudogene	KNOWN	GPX1P2
ENSG00000202160.1	snRNA	KNOWN	RNU5E-7P
ENSG00000235604.1	protein_coding	KNOWN	SPANXB1
ENSG00000242524.1	pseudogene	KNOWN	OR2U2P
ENSG00000178075.14	protein_coding	KNOWN	GRAMD1C
ENSG00000236878.1	pseudogene	KNOWN	AC012363.7
ENSG00000206047.2	protein_coding	KNOWN	DEFA1
ENSG00000231496.1	lincRNA	NOVEL	RP1-251M9.2
ENSG00000223819.1	pseudogene	KNOWN	RP3-347M6.1
ENSG00000227964.1	lincRNA	NOVEL	RP5-1112F19.2
ENSG00000223316.1	miRNA	KNOWN	AC027281.1
ENSG00000197421.5	pseudogene	KNOWN	GGT3P
ENSG00000252148.1	snRNA	KNOWN	U6
ENSG00000263631.1	miRNA	KNOWN	MIR378D1
ENSG00000228316.1	pseudogene	KNOWN	RP11-522L3.5
ENSG00000229406.1	pseudogene	KNOWN	OFD1P4Y
ENSG00000215114.3	protein_coding	KNOWN	UBXN2B
ENSG00000221523.1	miRNA	KNOWN	AC079080.1
ENSG00000252199.1	snoRNA	KNOWN	SNORA70
ENSG00000152049.4	protein_coding	KNOWN	KCNE4
ENSG00000213174.3	pseudogene	KNOWN	RP11-373E16.1
ENSG00000123364.3	protein_coding	KNOWN	HOXC13
ENSG00000225082.1	pseudogene	KNOWN	DAP3P1
ENSG00000261663.1	antisense	NOVEL	RP11-304L19.11
ENSG00000249996.1	antisense	PUTATIVE	RP11-359P5.1
ENSG00000248842.1	lincRNA	NOVEL	CTB-1H10.1
ENSG00000072694.14	protein_coding	KNOWN	FCGR2B
ENSG00000230080.2	pseudogene	KNOWN	AC139143.2
ENSG00000253829.1	antisense	NOVEL	RP11-723D22.3
ENSG00000248449.1	pseudogene	KNOWN	PCDHGB8P
ENSG00000236931.1	pseudogene	KNOWN	BX664608.1
ENSG00000212211.1	snoRNA	KNOWN	U3
ENSG00000175309.10	protein_coding	KNOWN	AGXT2L2
ENSG00000248935.1	antisense	NOVEL	CTD-2254N19.1
ENSG00000231203.1	pseudogene	KNOWN	KRT8P10
ENSG00000223700.1	pseudogene	KNOWN	AC104395.1
ENSG00000238731.1	snRNA	KNOWN	U7
ENSG00000128965.7	protein_coding	KNOWN	CHAC1
ENSG00000236690.2	pseudogene	KNOWN	AC007274.5
ENSG00000181649.5	protein_coding	KNOWN	PHLDA2
ENSG00000255560.1	pseudogene	KNOWN	OR4R2P
ENSG00000112305.10	protein_coding	KNOWN	SMAP1
ENSG00000223922.1	pseudogene	KNOWN	ASS1P2
ENSG00000062582.9	protein_coding	KNOWN	MRPS24
ENSG00000110395.3	protein_coding	KNOWN	CBL
ENSG00000254425.1	pseudogene	KNOWN	RP11-480O10.2
ENSG00000199301.1	snRNA	KNOWN	U6
ENSG00000173838.7	protein_coding	KNOWN	MARCH10
ENSG00000107018.5	protein_coding	KNOWN	RLN1
ENSG00000166492.9	pseudogene	KNOWN	FAM86GP
ENSG00000239679.2	misc_RNA	KNOWN	Metazoa_SRP
ENSG00000228790.1	pseudogene	KNOWN	AC098784.1
ENSG00000249234.1	antisense	NOVEL	RP11-452J21.2
ENSG00000252293.1	snRNA	KNOWN	RNU7-64P
ENSGR0000167393.12	protein_coding	KNOWN	PPP2R3B
ENSG00000234363.1	pseudogene	KNOWN	PPIAP27
ENSG00000223905.1	pseudogene	KNOWN	RP11-335E14.1
ENSG00000257497.1	processed_transcript	PUTATIVE	RP11-585P4.5
ENSG00000166845.9	protein_coding	KNOWN	C18orf54
ENSG00000265948.1	sense_intronic	NOVEL	RP11-296E23.2
